repeat,fold,model,MAE
3,2,Chemprop,0.5588558275000001
3,3,Chemprop,0.6766201711111112
3,4,Chemprop,0.7367202144444445
3,5,Chemprop,0.5606036636111112
3,6,Chemprop,0.6728771372222223
3,7,Chemprop,0.6350869961111111
3,8,Chemprop,0.6023865358333333
3,9,Chemprop,0.6413500530555556
4,0,Chemprop,0.6380567914600551
4,1,Chemprop,0.5783795394444445
4,2,Chemprop,0.6304164000000001
4,3,Chemprop,0.6921010155555556
4,4,Chemprop,0.6016855655555555
4,5,Chemprop,0.5656352219444445
4,6,Chemprop,0.6985266516666666
4,7,Chemprop,0.543534085
4,8,Chemprop,0.5930124180555557
4,9,Chemprop,0.6651011230555556
